pdv_code,lat,lon,demanda
8819471,20.05158694,-98.33770111,900
7205084,20.03805372,-98.35785808,900
6335562,20.07063222,-98.38417231,900
6336187,20.08955715,-98.74707044,900
6336471,19.93430522,-99.34077609,900
6336470,21.15306674,-98.3953956,900
6335744,20.22029047,-99.21725216,900
6336469,19.7176223,-98.46405458,900
6335363,20.08952777,-98.74707396,900
6335705,20.05935369,-98.78452927,900
8016281,20.73549451,-99.38590876,900
6782987,20.11438973,-98.74438572,900
6782851,20.10340697,-98.7510712,900
9312299,19.85132275,-99.28324273,900
1575516,19.81185241,-98.97227145,900
9297670,20.06990714,-98.38436345,900
7817319,20.53100268,-98.63619022,900
9232874,19.84866878,-99.27755164,900
7987229,21.01035855,-99.19251058,900
7823382,20.11042233,-98.8278258,900
7087439,20.05682629,-99.34392578,900
7754019,19.9580884,-98.92187881,900
8879660,20.12501417,-98.74660529,900
1585571,20.37588069,-99.65272583,900
6233356,20.46025376,-98.07856752,900
6233347,20.13298265,-99.23063652,900
6233348,20.07757743,-98.7096018,900
6233350,20.48126347,-99.23473059,900
6233349,20.05805886,-99.33502306,900
6233340,20.09751105,-98.36579526,900
6233357,20.40038858,-98.20032821,900
6233342,21.14169275,-98.41184737,900
9288159,20.06788823,-98.7172347,900
1593500,20.11454407,-98.74114735,900
7755354,21.13661085,-98.40239585,900
1543343,21.02932901,-98.28814868,900
1543426,21.03316212,-98.28597554,900
8284861,21.16794157,-98.60951377,900
1582629,20.48422732,-99.23593021,900
7823223,20.09181842,-99.12376797,900
7281678,20.08851531,-98.36984869,900
1560726,20.05569226,-99.34140919,900
9162745,20.64573424,-98.65394731,900
1516596,20.66103262,-98.66257036,900
1516308,20.78676596,-98.72989894,900
8240688,20.24381624,-99.09007004,900
8258536,20.11754514,-98.74432641,900
1552432,20.09821502,-98.35676708,900
1552259,20.09889587,-98.35695748,900
7277281,20.00296988,-99.22036998,900
7823508,20.11886053,-98.88714023,900
9090411,19.70861539,-98.45244907,900
9297137,20.13665465,-98.73087777,900
8016788,20.73736491,-99.38267941,900
8283765,20.05797842,-98.77765403,900
6777663,20.12622192,-98.74493119,900
1528916,20.12642537,-98.73109095,900
6335975,20.09739641,-98.77007667,900
8017172,20.48378077,-99.21697875,900
1529470,20.1237518,-98.73570929,900
7775526,21.16939459,-98.60458532,900
1597140,20.08814346,-98.77061098,900
1593940,20.12512916,-98.74655769,900
8565954,20.12194483,-98.73844758,900
6336124,21.14124854,-98.41167275,900
6760488,20.37595663,-99.66160083,900
6335602,20.47230932,-99.20794325,900
6336125,20.78668499,-98.72337634,900
9232551,19.71698172,-98.45633058,900
6336127,20.3868168,-98.20836495,900
6335732,20.05735926,-99.29620722,900
6335652,20.05990256,-98.44653304,900
6335282,20.73549833,-99.38596066,900
6735365,20.05409729,-99.34179074,900
7759114,20.11839088,-98.75570046,900
7824099,20.12717725,-98.73099595,900
7843881,20.1219875,-98.73838453,900
7789365,20.37584461,-99.65357022,900
7185706,19.77835894,-98.57927212,900
9312609,19.70843618,-98.45103654,900
7364301,20.0894475,-98.35846871,900
9078320,21.14390524,-98.41462283,900
1589548,20.26748727,-98.94877504,900
1621377,20.11642492,-98.7576189,900
1528168,20.48011471,-99.21651344,900
8544194,20.09714949,-98.77728738,900
1552260,20.09877958,-98.35713668,900
1607687,20.268373,-98.94401623,900
1527125,20.0988728,-98.35746323,900
1527130,20.09883251,-98.35735293,900
8478081,20.78135311,-98.66858585,900
7844258,20.11287527,-98.73152518,900
8477788,19.78400173,-98.54904964,900
7758610,20.09151037,-98.78773945,900
6263156,20.10889369,-98.75477826,900
1536262,20.01992337,-98.63228501,900
1534334,20.11912079,-98.36437957,900
1623042,19.82764334,-98.98306992,900
7280434,20.39758575,-98.20132343,900
7228029,19.71155957,-98.45104602,900
1574944,19.87462469,-98.93522346,900
1606813,19.89573026,-99.34965124,900
1551302,20.15484379,-98.16443742,900
1554994,20.04594401,-98.33142719,900
1572438,19.98004946,-98.78992069,900
1553476,20.08340112,-98.37980304,900
1569396,20.03963504,-98.80033784,900
1616725,20.034003,-98.84007135,900
7374300,19.84619595,-98.94421697,900
9216140,20.47422035,-99.21077966,900
7745488,19.81920104,-98.95051011,900
8073986,20.10138488,-99.15226418,900
1581297,21.15881024,-98.90299441,900
1551289,20.19546583,-98.20256748,900
1530271,20.37610011,-99.65082063,900
1566571,20.02111043,-99.34404535,900
8621842,21.1452525,-98.41311544,900
7755615,21.14406923,-98.42770075,900
7754108,21.15087119,-98.40013757,900
1535032,20.08915955,-98.37127027,900
1568250,19.90139437,-99.32971008,900
7363732,20.08354118,-98.36586995,900
9050936,20.0816598,-98.36511745,900
1525478,20.13033938,-98.73021096,900
1531327,20.08050031,-98.36666987,900
1549914,20.07676928,-98.36807803,900
1572177,20.09744217,-99.1420415,900
1512735,21.14415387,-98.41697927,900
1512820,21.14415387,-98.41697927,900
9070671,21.1449565,-98.42143684,900
1516052,20.98920384,-98.65917735,900
7987799,21.00706329,-99.19033346,900
7987800,21.00712138,-99.19053559,900
8360670,20.153997,-98.16218193,900
8270784,20.11143026,-98.17833915,900
7775274,21.17800123,-98.65686986,900
1512743,21.14415387,-98.41697927,900
1551478,20.11520517,-98.18329658,900
1551263,20.19576202,-98.20962836,900
1551262,20.19542352,-98.21014574,900
1551379,20.15310223,-98.16029644,900
7775516,21.16897606,-98.60430839,900
1551408,20.1561698,-98.15047274,900
1551411,20.15570989,-98.15667749,900
1551482,20.11878071,-98.18098801,900
1551486,20.12281136,-98.17628568,900
1551466,20.13734067,-98.16583307,900
1526596,20.15932959,-98.15867528,900
1526572,20.1306237,-98.17119072,900
1551426,20.16321304,-98.15199358,900
1551462,20.12810381,-98.16956418,900
1551481,20.1207463,-98.1798435,900
1551445,20.12124518,-98.17948091,900
1526566,20.13470255,-98.15956499,900
1551436,20.12616159,-98.17690072,900
1551440,20.12413687,-98.17831993,900
1526556,20.141332,-98.15890493,900
1551469,20.12765047,-98.1824865,900
1551476,20.11623982,-98.18737588,900
1551489,20.12093003,-98.17965503,900
7364208,20.08053695,-98.35383767,900
1551332,20.15324882,-98.16944232,900
1526610,20.15583149,-98.16334928,900
7754754,19.90251686,-98.95158768,900
1522326,20.06774225,-98.71711886,900
1558676,20.06461134,-98.71567471,900
7277495,19.93050556,-99.35091624,900
7277500,19.9286868,-99.34729089,900
1546032,20.79020669,-98.72736863,900
8820255,19.93038189,-99.34938406,900
1613837,19.7947099,-98.55318104,900
1535914,20.10886091,-98.74033488,900
7689722,19.78382572,-98.54934308,900
7312049,20.05637625,-99.22837194,900
7823482,20.11405453,-98.77024168,900
7363161,20.06943172,-98.33955629,900
7363163,20.07138821,-98.33906722,900
1517186,21.15739806,-98.90499492,900
1517257,21.15812936,-98.90730896,900
1517107,21.16165152,-98.90089186,900
1581344,21.15860309,-98.90581258,900
1581355,21.16221514,-98.89945103,900
8031555,20.38184312,-98.96802155,900
1528360,20.48310982,-99.2081658,900
1546813,20.27921044,-98.6608786,900
1583215,20.48203363,-99.20812514,900
8097485,20.05368089,-99.3409829,900
9064632,20.30658805,-98.99095706,900
1609937,20.24779054,-99.18897593,900
1612919,19.77721569,-98.57320262,900
1517801,21.0530366,-99.29527921,900
1581653,20.74951908,-99.37736961,900
8477820,20.64059768,-98.65946779,900
1517537,20.64217611,-98.6533491,900
1516947,20.64725897,-98.65532403,900
1546323,20.65559937,-98.66466145,900
1520417,20.73427144,-99.38180525,900
8478273,20.65764546,-98.66488763,900
7776410,20.65364619,-98.66017437,900
7776298,20.65542695,-98.66453743,900
7776299,20.65591519,-98.66376532,900
7776936,20.64818542,-98.65957846,900
7746558,19.84371493,-98.97752239,900
1622286,19.84000044,-98.98583892,900
1605423,20.00079479,-99.2158332,900
1558283,20.06906566,-98.73022964,900
1545017,21.14616545,-98.41394544,900
8284528,20.65040057,-98.64891707,900
1620460,20.06547451,-98.79448557,900
1614826,19.72436739,-98.44743473,900
8477467,20.05161234,-98.79493289,900
1613542,19.78799258,-98.55628653,900
1583028,20.48425344,-99.21436265,900
9313027,20.04931857,-99.34996927,900
1537159,20.16298308,-99.28231333,900
7086897,20.16606556,-99.27749931,900
1581874,20.73323599,-99.38172227,900
7869022,20.03484137,-98.80605457,900
7312251,19.9999497,-99.20939101,900
6434695,20.08926843,-98.78767073,900
1555432,20.03299402,-98.30919693,900
7605155,20.12527909,-98.76014314,900
1570902,20.10884866,-98.78468834,900
7745055,20.01739629,-98.83394032,900
7746565,19.88145093,-98.96928913,900
1550423,20.39811604,-98.19985146,900
1533288,20.24926045,-99.64633463,900
1610037,20.2461209,-99.18410905,900
1572174,20.09488173,-99.11763744,900
1518283,20.59427136,-98.76692228,900
6434651,19.83762779,-98.98857408,900
1570155,20.10396572,-98.80313617,900
1603127,20.1276523,-99.23288499,900
1621996,19.84344076,-98.97939376,900
1520336,20.73975561,-99.38850104,900
7823958,20.24011122,-99.08782004,900
7817812,20.89656027,-98.58361853,900
8271038,20.48298386,-99.21627887,900
7754182,19.89164706,-98.92907397,900
1558760,20.06529934,-98.69855312,900
1572808,20.02946665,-98.84258568,900
1528196,20.48698219,-99.20675592,900
1574693,19.85239873,-98.95344418,900
1574509,19.88398244,-98.95646631,900
1592428,20.1347197,-98.77310605,900
1574630,19.87342413,-98.95847822,900
8270597,20.50671086,-99.21725605,900
1556952,20.1146988,-98.7130334,900
1521854,20.07631359,-98.69808281,900
1570367,20.09660542,-98.88200916,900
1606217,19.94560191,-99.28007588,900
1518607,20.59351139,-98.76100054,900
1617311,20.12753109,-98.75439699,900
1614172,19.70887835,-98.45397461,900
1534475,20.09475866,-98.37221947,900
1613284,19.75897009,-98.58613978,900
9256572,21.16461546,-98.66244491,900
8016108,20.47020313,-99.22391947,900
1609026,20.24187785,-99.02402385,900
1568811,20.03686036,-98.78314568,900
1531842,20.09864073,-98.74276716,900
1566548,19.99846219,-99.37617023,900
9050546,19.85722712,-98.93584613,900
1522732,20.50120286,-99.21763487,900
1615578,19.70408504,-98.40044162,900
1572387,20.11496634,-99.15705526,900
1580401,19.77885986,-98.57274704,900
1537962,20.07435124,-99.31678228,900
1528482,20.38762857,-98.9629876,900
1539360,20.08727265,-98.3778833,900
1609184,20.26775538,-98.9675802,900
1521672,20.08763377,-98.7023248,900
1555513,20.03503273,-98.31035757,900
1555955,20.06397069,-98.42235109,900
7363193,20.09113641,-98.35203196,900
8017770,20.48605535,-99.20390345,900
7754472,19.8641637,-98.92862255,900
1529787,20.15904769,-99.24898187,900
8993776,20.06040552,-98.7194796,900
1550627,20.46314101,-98.07343556,900
8477245,21.15288859,-98.39555299,900
1531263,20.07916941,-98.3656219,900
8283872,19.85613952,-98.95714692,900
1622281,19.8387845,-98.98668079,900
1525764,20.12394641,-98.71796352,900
8621271,21.02586956,-98.34379261,900
1592521,20.12190168,-98.78147322,900
7759288,20.11948005,-98.76914683,900
1533635,20.16081856,-99.25402488,900
1576927,19.84448827,-98.98864188,900
7850790,20.07150819,-98.70113284,900
7754523,19.88355089,-98.9624843,900
1599078,20.05035151,-98.32658478,900
7850344,20.06346819,-98.72024856,900
1602245,19.81491738,-98.60348503,900
7227603,19.81983197,-98.60500857,900
1613776,19.78543671,-98.54955886,900
7758901,20.13529925,-98.76694158,900
7919424,20.13508029,-98.66846117,900
1614824,19.7131226,-98.44672127,900
7228197,19.70956795,-98.44961356,900
7746183,19.84426834,-98.9784524,900
1577067,19.83480501,-98.97943643,900
1575508,19.81127918,-98.95852902,900
1622912,19.81225545,-98.9564629,900
1591330,20.20783365,-99.04926619,900
7850796,20.06926371,-98.72741932,900
7823755,20.21270778,-99.07329835,900
1554151,20.0835274,-98.34724038,900
8017598,20.48997906,-99.21711851,900
1522829,20.50462861,-99.21747332,900
1570202,20.09074327,-98.83043795,900
1534234,20.1130214,-98.41889786,900
1612982,19.76888136,-98.57026883,900
7919437,20.11054345,-98.41529205,900
1587652,20.24016781,-99.19180052,900
9257313,20.15714792,-99.25591416,900
1589083,20.285148,-99.01568921,900
8053029,20.23699529,-99.21259544,900
8565711,20.24521006,-99.09321952,900
1563922,20.06941959,-99.32026221,900
1573221,19.98982338,-98.8701695,900
1581227,21.1940619,-99.00694375,900
1594143,20.13099962,-98.72708717,900
7863757,20.06200846,-98.72090187,900
9154336,20.19483472,-99.17921066,900
1616257,20.2637586,-98.93923706,900
1612052,20.09523632,-99.13164005,900
1593830,20.13146753,-98.74910405,900
1538126,20.042356,-99.30593123,900
1613217,19.76911944,-98.56920788,900
1575982,19.85260907,-98.98150184,900
1568038,19.90052903,-99.36339001,900
8239948,20.12111404,-98.79124271,900
1554933,20.05516005,-98.34332745,900
1549591,20.07108851,-98.41422857,900
1550812,20.45693169,-98.03501321,900
1622606,19.83354962,-98.94896212,900
1583295,20.47455306,-99.22423882,900
1582462,20.48560561,-99.22448556,900
1528300,20.48096809,-99.21303052,900
1519659,20.74647952,-99.38187372,900
8016059,20.7479595,-99.38195321,900
1566858,20.01572183,-99.2681654,900
7843080,20.11551324,-98.72238449,900
1537783,20.05736861,-99.20522526,900
1572959,19.97076865,-98.86100781,900
1601791,19.91818384,-98.67705153,900
1570412,20.11090657,-98.88109413,900
1530651,20.0856637,-98.36858747,900
1566549,19.99802822,-99.37769289,900
1612804,19.78131286,-98.57572435,900
1601998,19.91452421,-98.67144869,900
1568059,19.89946575,-99.36629847,900
1617786,20.12434239,-98.7418048,900
1538551,20.09318928,-98.74458485,900
1600635,20.05361957,-98.76845667,900
1537489,19.99289806,-99.19059131,900
7745689,19.82949209,-98.95769297,900
1621877,19.84686864,-98.97679479,900
9203677,20.12915244,-99.19936761,900
1599177,20.03780559,-98.30745626,900
1522833,20.50419048,-99.21983165,900
8477324,19.82272284,-98.95053661,900
1598177,20.1092427,-98.77088084,900
9257108,20.06834001,-98.793455,900
1575298,19.81073386,-98.9490492,900
1576970,19.84178324,-98.98105132,900
1547122,20.64551166,-98.6566718,900
1527402,20.09157768,-98.35898401,900
7363464,20.05926961,-98.33524213,900
1567098,19.99011447,-99.34068458,900
8621450,20.59724129,-98.75934226,900
1612545,20.08689592,-99.12092458,900
1513589,20.72777488,-98.63233045,900
1606281,19.89619381,-99.33344705,900
8620274,20.14127604,-98.67000453,900
1589998,20.22295237,-98.9033733,900
1532648,20.38524524,-99.6533873,900
7312126,20.08697849,-99.24487157,900
1524272,20.48124951,-99.23458752,900
1517152,21.15604808,-98.90419434,900
7776702,20.65407269,-98.65614091,900
7277200,20.03834331,-99.33083943,900
1625234,20.17474825,-99.32518336,900
8598099,20.08538028,-98.73935403,900
7228126,19.70421459,-98.45472073,900
1603541,20.09151737,-99.21565762,900
7313429,20.09200724,-99.21815641,900
7745467,20.02223952,-98.84514552,900
1590737,20.25200055,-99.09751684,900
1532630,20.38409632,-99.64942896,900
9051229,21.15179879,-98.39542403,900
1596457,20.10709366,-98.74149925,900
1537499,20.05655913,-99.20454858,900
1602215,19.81539501,-98.60102852,900
7746280,19.87238875,-98.96901838,900
7863769,20.05898375,-98.75381154,900
1583306,20.47525465,-99.22412391,900
1600976,20.05076046,-99.34965928,900
9257587,20.38352914,-99.64463556,900
1550966,20.34115589,-98.22878306,900
1575031,19.87092291,-98.93861951,900
1569267,20.03485846,-98.80872006,900
7851685,20.0278442,-98.71260065,900
7689774,19.77156285,-98.57256125,900
1557827,20.0830458,-98.73701824,900
7330054,20.11043351,-98.88823895,900
1622669,19.84364839,-98.97023233,900
7996598,20.50103597,-99.21967657,900
8016542,20.74498502,-99.371369,900
1568999,20.05296896,-98.77767401,900
1614507,19.65425242,-98.54486856,900
7759274,20.11647681,-98.79880161,900
7277665,19.92962575,-99.35035075,900
1557763,20.0791469,-98.74791303,900
7281323,20.09018209,-98.37108286,900
1524457,20.46257215,-98.07339685,900
7824258,20.12855693,-98.72873267,900
7824151,20.12848114,-98.72823079,900
7277978,19.97105142,-99.25447101,900
7374592,19.84675381,-98.97865525,900
1565351,20.00617455,-99.21952856,900
1621446,20.11549099,-98.75780121,900
1567750,19.91416553,-99.3428314,900
1540837,20.0539528,-99.3430189,900
9115185,19.82594537,-98.99253746,900
7228019,19.71191492,-98.4483501,900
1521437,20.09960257,-98.69988109,900
8073633,20.08505517,-99.24229115,900
1533517,20.40879033,-99.35008648,900
1560027,20.05374213,-98.72132023,900
1522924,20.48945881,-99.23641573,900
8017300,20.46562659,-99.20400239,900
8033060,20.284622,-98.9537827,900
1547455,20.28846376,-98.67246455,900
7919963,20.28772621,-98.66872162,900
1556670,20.03250766,-98.35411934,900
1549803,20.07427792,-98.37443685,900
1585368,20.28624986,-99.41456459,900
1516440,20.7861342,-98.7241505,900
8477670,20.65668191,-98.65492976,900
9256705,20.08365757,-98.36254047,900
1574495,19.88504021,-98.95913148,900
8994457,20.10850963,-98.35697331,900
1581014,19.91655871,-98.67237176,900
1533421,20.41048752,-99.34897595,900
1620732,20.0445417,-98.80198359,900
1564918,20.05572393,-99.23144569,900
1586975,20.1934149,-99.17653875,900
7823285,20.08523899,-99.11797005,900
1614830,19.72184059,-98.44795552,900
7086949,20.17348777,-99.31579862,900
1614542,19.65443107,-98.54560027,900
1622744,19.83476723,-98.95801969,900
1512664,21.14191781,-98.41688425,900
1524390,20.4597119,-98.0777042,900
8360159,20.19527887,-99.17642524,900
1563988,20.06267446,-99.32026168,900
1599795,20.01192744,-98.30081788,900
7227687,19.65427349,-98.54480431,900
9051130,19.85419974,-98.96202839,900
7745485,19.81747096,-98.95458482,900
7824389,20.2433866,-99.02896323,900
1511032,21.165305,-98.66593639,900
7851820,20.06739055,-98.71545583,900
8053605,20.22655877,-99.22659902,900
8621383,21.16754231,-98.61527812,900
7312814,20.10006434,-99.14761224,900
1524341,20.45729712,-98.03461294,900
1615671,19.70583483,-98.44596286,900
1579472,19.76899031,-98.57751925,900
7277736,19.99661011,-99.36956217,900
7087722,20.06129104,-99.34766257,900
7776763,20.65226985,-98.65552221,900
7758747,20.10302428,-98.82300081,900
1532445,20.11439278,-98.72130953,900
9256989,19.77480457,-98.56882991,900
1571070,20.1168467,-98.78378193,900
1579601,19.76315993,-98.5785627,900
1519670,20.74728125,-99.37661422,900
8477983,19.76926231,-98.56813231,900
