pdv_code,lat,lon,demanda
8974127,18.89458424,-99.15640366,900
6362452,18.96698386,-99.23821684,900
6361363,18.74850947,-98.9148553,900
6361133,18.92046795,-99.17163557,900
6361180,18.60459594,-99.19549501,900
2847639,18.87627157,-99.06828745,900
6361215,18.82596561,-99.2180228,900
9279572,18.92429206,-99.1983114,900
6845391,18.92202978,-99.19882704,900
2773160,18.93895634,-99.19089479,900
2839524,18.61544238,-99.17778361,900
6955410,18.78180928,-99.23180112,900
9001490,18.8694105,-98.93221918,900
6234606,18.87556374,-98.92306777,900
8911971,18.89844172,-99.2130623,900
2814441,18.72501359,-98.79951061,900
2795835,18.98751265,-99.10234113,900
7872218,18.95932762,-99.21240104,900
2813639,18.5006792,-98.75210574,900
8678348,18.61860239,-99.32216439,900
2801793,18.91782025,-99.18317561,900
8706271,18.68180616,-98.80526664,900
6362754,18.82425497,-98.94709959,900
6362409,18.92395521,-99.22046786,900
8912615,18.92893414,-99.23953413,900
6727586,18.94303366,-99.22963351,900
6805147,18.93717798,-99.19234729,900
2829437,18.84692908,-99.22310143,900
6210388,18.95253795,-99.1994141,900
8945200,18.92163138,-99.23522784,900
6442403,18.92163138,-99.23522784,900
7158997,18.7169564,-98.78711622,900
6361374,18.86375871,-98.93143943,900
6361625,18.64375308,-99.21355463,900
2773921,18.94230237,-99.23261372,900
8815260,18.90879199,-98.97167435,900
8504838,18.68141776,-98.80348547,900
9289646,18.91209096,-99.1800278,900
2805508,18.92502517,-99.23412127,900
7322018,18.59780644,-99.36627224,900
8987393,18.8694105,-98.93221918,900
2785387,18.82138912,-99.23047342,900
6268462,18.90710674,-99.17913122,900
6268463,18.91965851,-99.19461566,900
6258955,18.91452506,-99.2371226,900
6718489,18.9563103,-99.2456679,900
7526067,18.92705211,-99.21493282,900
2806967,18.90487932,-99.22719642,900
7094968,18.82646757,-98.92844421,900
7094939,18.79634385,-98.95052,900
7314581,18.8638188,-99.20882656,900
7340339,18.82366548,-98.94847388,900
6955907,18.81574115,-99.23225842,900
2834363,18.49249851,-99.27972272,900
7174375,18.87138603,-98.92397858,900
7241497,18.84789904,-99.22251611,900
2836908,18.61935218,-99.1768585,900
2793964,18.98116352,-99.25417067,900
9260692,18.64991754,-98.8340457,900
8758957,18.72639947,-98.95146019,900
8030434,18.89523987,-99.16668899,900
2793826,19.0305262,-99.26847893,900
8757465,18.83468041,-99.18032499,900
7241935,18.83415505,-99.23713329,900
2840161,18.6020016,-99.16899105,900
7314572,18.87470562,-99.17604857,900
7241969,18.82331112,-99.24240605,900
2788256,18.77310395,-99.35773249,900
7508622,18.98748538,-99.25762492,900
2785894,18.84592494,-99.22419583,900
7010380,18.88171443,-99.12729902,900
2815054,18.68003755,-98.80562904,900
7125995,18.81785287,-98.92645299,900
2801899,18.91784836,-99.18159855,900
7241182,18.83422562,-99.24054222,900
9049138,18.88163885,-99.12877009,900
7331061,18.643515,-99.21571454,900
7100755,18.59141112,-99.17169971,900
7322069,18.61493737,-99.34716678,900
2861010,18.8995952,-98.72830327,900
8986426,18.84163686,-99.19473679,900
2835459,18.67540232,-99.1852674,900
8987250,18.87010781,-99.06752856,900
8977527,18.84163686,-99.19473679,900
8800284,18.67685759,-99.18536786,900
6210758,18.92799285,-99.23279468,900
8595132,18.86245761,-99.24079554,900
2819862,18.81110227,-98.95653029,900
2863436,18.5960221,-98.83858705,900
2859446,18.72906363,-98.95229293,900
7961648,18.82493987,-98.94959947,900
8162928,18.89524331,-98.73041028,900
2836601,18.63700318,-99.16098303,900
8977520,18.84163686,-99.19473679,900
7330676,18.64298921,-99.21162082,900
7520721,18.92575604,-99.1912058,900
2820915,18.81430043,-98.95191805,900
9166300,18.95406594,-99.21645551,900
6995266,18.59325268,-98.83908488,900
8685395,18.96932664,-99.23169597,900
2775530,18.92807121,-99.24308247,900
2810525,18.8507723,-98.95118256,900
8447084,18.88777263,-99.23151288,900
7339075,18.85191891,-98.94968357,900
2808436,18.88139107,-98.85579756,900
8949765,18.76635324,-99.18037596,900
8685584,18.81931201,-99.25954473,900
2861528,18.80915753,-98.74715458,900
2861858,18.77416014,-98.77931674,900
2859653,18.76684569,-98.98200937,900
2859648,18.76684569,-98.98200937,900
2834899,18.6546877,-99.26543562,900
2833413,18.68955844,-99.24586887,900
8757415,18.8583164,-99.17934647,900
2798437,18.93317118,-99.24123415,900
8681818,18.7506717,-98.77688137,900
7159483,18.76774127,-98.98379646,900
2791075,18.68825095,-99.24819098,900
7241893,18.82886223,-99.2412586,900
9259897,18.96917436,-99.20872156,900
9260153,18.84152576,-99.25489583,900
9260219,18.90374057,-99.070682,900
9260361,18.76554531,-99.17968002,900
2840535,18.57750467,-99.17930536,900
2783561,18.84887432,-99.18993782,900
7495782,18.9518741,-99.20021098,900
8549984,18.82055338,-99.25950065,900
8029873,18.85789176,-99.17913552,900
2863229,18.61043948,-98.76696842,900
2863967,18.56105091,-98.77396582,900
2864004,18.56102386,-98.77706152,900
2863136,18.61797475,-98.77000679,900
2863132,18.61538165,-98.77334978,900
2863164,18.61472188,-98.77519735,900
